feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	AST.PWY..L.arginine.degradation.II..AST.pathway.	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La20	5.2661996254593	1.80287439412456	1.57433794628566	1.8497556589327	3.78401699167149	2.24145488633417	1.67082856524991	4.69080267336986	2.5544338569567	1.28497340615012	0.681499720841956	1.80328285996412	4.18672944041591	5.60615631281784	1.92986051105486	4.8561023135686	4.50274048096579	2.10820376484449	3.77245668330579	4.40770497703178	2.87717749046325	6.87938838131154	3.2818299111754	5.28355953542386	2.2644848260004	4.4730724289306
La25	5.3248029717991	1.80287439412456	3.85666105140553	1.8497556589327	4.44217604056611	2.24145488633417	1.67082856524991	5.3148172444022	2.5544338569567	1.28497340615012	0.681499720841956	1.80328285996412	7.05380356436076	5.86455447846103	1.92986051105486	3.40845445026782	4.10466468018453	4.19542357883247	5.31863550882989	4.11081904720418	2.87717749046325	5.80554181080481	2.2818299111754	5.31866751324935	2.2644848260004	4.67695224552873
La64	2.08996270411053	3.34320967772448	2.66725649408764	1.8497556589327	4.92943093061356	2.24145488633417	1.67082856524991	2.79103187008719	2.5544338569567	3.06557009187153	0.681499720841956	3.45962260031338	4.18468041413999	2.62608792669879	4.06644583915379	2.1003496231648	4.97509488277245	3.37553253519696	4.45765402390701	2.22089442566518	2.87717749046325	1.95243082528521	2.2818299111754	5.17683004720738	2.2644848260004	3.17165174915359
La65	9.67537347412399	7.72109767898142	7.88703709451176	1.8497556589327	9.26867988026627	6.83864070220706	8.6622589004072	9.49429294943243	6.42892073645239	8.56223734473784	5.53706880376271	5.64450271026502	9.78451554030438	10.1988615887483	4.38126125555621	6.24492986097914	9.25000419332566	8.15123233706428	8.86741189461658	9.03978146978992	2.87717749046325	6.47287980209591	7.43888495970893	9.1866190820797	5.85235182932648	9.38677303220631
La66	2.08996270411053	1.80287439412456	1.57433794628566	2.8497556589327	2.43993234578184	2.24145488633417	1.67082856524991	1.79103187008719	2.5544338569567	1.28497340615012	1.68149972084196	1.80328285996412	3.33083863630037	4.92390696818318	1.92986051105486	2.1003496231648	2.40360068220203	3.74729649307905	2.41073620310569	2.22089442566518	2.87717749046325	4.40965914318441	2.2818299111754	5.15065808185652	2.2644848260004	1.76886985406744
La67	7.73029851973927	3.05433787934082	6.86144785931889	1.8497556589327	7.21079355186062	4.68454516234965	4.16554423098979	5.19521475425304	2.5544338569567	3.16455587392819	0.681499720841956	3.10251163527492	7.09988916307662	7.78149089956081	1.92986051105486	6.27417595678625	7.25651409580645	6.27250225149855	2.41073620310569	6.88418876247735	4.80530288710468	7.70909823093938	5.27909023675898	7.15700932702978	3.86393762965313	7.01391528912451
La69	2.08996270411053	1.80287439412456	3.43814173890112	1.8497556589327	2.43993234578184	2.24145488633417	1.67082856524991	1.79103187008719	2.5544338569567	1.28497340615012	0.681499720841956	1.80328285996412	2.09102482222822	2.62608792669879	1.92986051105486	2.1003496231648	2.40360068220203	4.02340657294811	2.41073620310569	4.73213226234399	2.87717749046325	1.95243082528521	2.2818299111754	2.29338510564771	2.2644848260004	3.69352304377148
La70	11.0053546745529	8.87717840217127	9.70469600233641	1.8497556589327	10.2579616293865	5.30574598859004	7.09472578586057	9.89766158017467	2.5544338569567	3.87260347298351	0.681499720841956	1.80328285996412	9.77755587074555	11.380530842252	1.92986051105486	9.23158801158441	10.2851520096433	8.26870172376278	2.41073620310569	9.43512928129168	2.87717749046325	1.95243082528521	10.5734754937528	12.1509725124801	2.2644848260004	9.91241680282722
La74	5.26317484199804	4.53604701915651	1.57433794628566	1.8497556589327	6.22120874588228	3.9924319254197	5.3440406150784	5.08076616811479	3.77688965760548	1.28497340615012	0.681499720841956	4.70808688227294	6.5452437729446	5.68779261906244	1.92986051105486	4.95325841527935	6.15392775156323	5.23861460376906	2.41073620310569	6.22475736617002	4.21178948898345	5.6246396303929	4.86426299970995	6.3937261360693	3.87473142533117	5.32930681988203
La75	8.45786025984124	5.03193885108666	6.33395705625948	1.8497556589327	7.17023778356075	5.28109737329596	5.63005662210298	6.66100936539427	2.5544338569567	3.98593284284405	0.681499720841956	5.03632338538905	9.29132860753407	8.77554056346038	2.92986051105486	7.38662499373407	8.01608630441061	6.17205144497777	8.75627072179413	7.31786611381184	2.87717749046325	9.82198689617923	5.66376319807987	6.71498615630884	2.2644848260004	7.42490284944096
