feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	AST.PWY..L.arginine.degradation.II..AST.pathway.	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La107	154.5076897136	127.8812303929	62.3057302196	0	174.4691059934	0	6.3679480451	119.9130499833	13.3648535855	0	6.8933713866	0	104.2882326073	353.3585396553	10.5947117443	38.3307434707	164.6074139956	32.1384334708	47.1600581295	73.5204483566	0	116.885182189	34.7515000921	379.7198101426	47.3709244138	76.604157717
La108	190.9388549729	86.2273295152	60.1436150182	0	175.6026616651	0	52.2850818979	63.8800247143	0	0	0	0	82.247844797	425.2870808257	19.9879911885	50.1216132102	145.3269564684	33.7104963598	25.2443956523	54.7613966701	0	126.0022632592	55.6024322463	279.1926530077	17.9999844069	87.9384750923
La109	184.1478734263	31.9268314235	31.71417152	0	81.9211545206	0	22.6668186019	69.4669184067	0	0	0	13.1995538998	124.7631112456	282.7609723692	0	11.1524999979	107.5890583648	0	25.8519354949	59.4644576649	0	149.7437891373	11.9164449652	124.944580288	0	58.0341614272
La110	3883.1015253042	703.0736225961	989.6549697116	0	2587.4177155859	1089.7167114322	441.9410003368	2155.3807785548	0	52.8456868442	0	26.1126324848	2282.5715795432	4931.3693012336	0	785.3654448564	2921.1510876553	1657.8850620314	168.8245979334	1563.145407685	0	2246.1006889712	998.5796969395	3445.6194455	1295.3247820686	1239.7923223778
La111	148.054600645	43.8085290161	29.8004061768	0	116.6804191622	57.6676792484	0	113.5700991931	19.8407565328	0	0	0	263.3108915314	203.6242522684	0	81.507421947	105.5098054258	91.4077951626	95.1182254507	143.7477941462	0	108.9164318707	73.6887226712	178.6003904311	16.7140017187	47.827844316
La112	618.9637356202	92.9688163082	207.5683572185	0	354.1809440874	182.0870793067	45.1927366344	627.0857327589	0	57.8667558356	0	32.9268665772	961.4127000364	855.248729179	0	179.1558544368	331.1141384661	251.0498212132	170.3496234057	263.0812998964	23.8822006868	520.2482611494	241.609060495	184.5577002318	103.9666392415	469.386300359
La113	0	0	0	0	0	0	0	32.7563740062	0	0	0	0	134.3521733258	23.6286431762	0	0	23.4148094953	21.4212937841	0	0	0	74.3287142099	17.5973386	22.8528922497	0	33.8862636304
La114	90.4906974222	16.1710831379	12.4387608129	0	35.8978456959	24.0915649026	0	57.4838922261	16.8412652102	0	0	0	169.3137868979	114.9563923958	0	0	35.8978456959	76.8888396332	15.0870222529	40.8142338629	0	67.8489074751	31.8628334675	72.3595331285	0	75.4910666675
La115	35.2892986491	20.405867785	6.0394044013	0	25.8575597974	14.7609043028	0	27.0639183268	0	0	17.1810446705	9.9965444458	17.022123852	48.4529967352	0	0	25.8575597974	31.8241635213	0	24.2931688762	0	0	0	43.7034270198	0	14.0351653996
La116	0	0	32.9237888447	0	24.9365650626	9.457473877	0	15.7103359641	0	0	0	0	20.3273172936	0	0	0	21.8910634868	10.8082975021	0	0	0	13.123149957	0	26.6578754133	0	40.159998752
La117	496.6118424954	88.7830548442	318.015835251	0	242.9035230274	0	24.8028695809	166.5425736347	18.3010901449	29.8923134761	42.2746788032	31.4485283233	330.0908173273	555.5433281573	69.705091889	0	229.334336557	118.5885849282	138.9822221954	85.5135385306	0	131.2293497515	77.9080906524	191.3335357138	49.8695130197	220.7057439711
La118	338.8804541502	64.9287762739	77.3001142248	0	230.2559404092	22.840978128	12.83406289	141.0133235056	0	12.1602544455	0	0	286.0731547477	360.5662613787	10.8947657695	0	242.3191098071	43.6351201446	88.7275458641	78.2756135085	0	140.1077184687	47.3144800809	137.4039878177	34.7391399836	268.1922774993
La119	30.3911343093	0	0	0	10.8523256951	0	35.7444696905	17.391081944	0	0	0	0	13.4295479311	66.5246724476	0	0	10.582442042	13.8007713826	0	41.9005391106	0	13.1218661912	0	34.9335831206	0	14.8131951215
La120	102.7434840299	11.9309649408	7.9860933166	0	0	25.1326593723	11.3442394554	76.3911832033	0	0	0	0	88.9915605203	134.7787201912	0	0	0	46.318242124	0	68.5396649617	0	97.0047804598	13.5526444309	72.6642968294	0	37.3030606571
La121	150.6235804424	21.8234125838	26.9895629695	0	40.345869152	0	11.3176192604	23.6887738261	14.8665415292	0	14.9394240447	14.8290880779	44.9152912522	175.8327238838	0	8.5762658234	41.4267331668	43.7743492972	34.5076833412	35.0754505274	0	8.9542022073	11.1799061564	60.9280120229	9.6096562578	54.6497617861
La122	200.0565470062	33.5185723962	74.7319907593	0	92.446036564	32.7143581833	25.9079556943	115.0562492683	31.6107376325	0	0	32.5861185793	105.8085192539	192.7069827513	14.4947911451	42.4221179036	140.1356744313	96.6298011683	0	46.6639321466	0	115.3377293472	42.3237036173	250.9648266952	23.7065820633	61.5643568202
La123	23.3357559452	0	12.8865491003	0	0	0	0	22.7151227401	0	0	0	0	14.009288254	28.9928323148	0	0	0	21.0580437539	0	40.3705717516	0	0	0	56.6840755573	0	0
La124	144.6475224004	16.2688101381	110.3900086854	0	49.9424399124	0	0	146.6062863506	0	8.7751740185	0	0	89.1120486015	187.5854416713	0	44.1254475247	68.8401979076	64.6028267162	11.6396190146	79.0581856983	0	61.7466586014	27.2517852042	187.9748998481	32.2943773126	23.9769260261
