feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La9	6.21231692887841	4.57574677417567	3.22893712606516	4.29734673174733	4.68350531178911	1.67082856524991	3.21100501713485	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	5.82996692810749	6.42344104002547	1.92986051105486	1.87102030335075	3.95544731406139	5.15745613650348	2.04546515929618	2.58644624473166	2.87717749046325	6.33549748180203	1.68842874390552	6.27208153172331	2.2644848260004	4.94376781894835
La20	5.2661996254593	1.80287439412456	1.57433794628566	3.78401699167149	2.24145488633417	1.67082856524991	4.69080267336986	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	4.18672944041591	5.60615631281784	1.92986051105486	4.8561023135686	4.50274048096579	1.95426524171438	3.77245668330579	4.40770497703178	2.87717749046325	6.87938838131154	3.2818299111754	5.28355953542386	2.2644848260004	4.4730724289306
La25	5.3248029717991	1.80287439412456	3.85666105140553	4.44217604056611	2.24145488633417	1.67082856524991	5.3148172444022	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	7.05380356436076	5.86455447846103	1.92986051105486	3.40845445026782	4.10466468018453	4.19542357883247	5.31863550882989	4.11081904720418	2.87717749046325	5.80554181080481	1.68842874390552	5.31866751324935	2.2644848260004	4.67695224552873
La34	2.08996270411053	1.80287439412456	3.12315561191658	7.55102674375447	2.24145488633417	1.67082856524991	6.54461109877558	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	7.1413586559533	2.62608792669879	1.92986051105486	2.87102030335075	7.7905788939762	5.54000207124363	2.04546515929618	3.38885543852182	2.87717749046325	5.39360946632988	4.5621732627309	5.04613664619142	2.2644848260004	7.14715914437562
La35	5.7155346890743	4.01373538315579	3.49540814219096	4.51078448821137	2.24145488633417	1.67082856524991	4.26210023207325	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	4.83370664761788	5.96773510754258	1.92986051105486	1.87102030335075	4.35962581847799	1.95426524171438	2.04546515929618	4.30533310896579	2.87717749046325	1.95243082528521	3.58577162161541	3.27593291501281	2.2644848260004	3.77192404120297
La36	5.97450583218552	1.80287439412456	4.081473360311	6.09758748281273	2.24145488633417	1.67082856524991	3.91213469479752	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	6.23510710546202	6.16794742360124	1.92986051105486	1.87102030335075	5.92166100234986	5.43480053160181	2.04546515929618	1.58644624473166	2.87717749046325	1.95243082528521	2.68842874390552	6.00829684784011	2.2644848260004	5.96488990514212
La37	5.81209336048493	3.24901904130749	4.26395737678757	4.78196608949305	2.24145488633417	1.67082856524991	2.57246333654921	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	4.88923221679138	6.91478941881675	3.61165638077717	3.71925724468136	4.6675305870323	4.92894316776965	2.04546515929618	4.29027158897576	2.87717749046325	1.95243082528521	1.68842874390552	4.50698184618233	2.2644848260004	3.51102564882196
La38	3.69232632299533	1.80287439412456	3.27664544455238	4.87114379399213	2.24145488633417	1.67082856524991	5.06388331360541	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	5.61076245481879	5.36732346472008	1.92986051105486	1.87102030335075	4.82915815318777	5.66953606549796	2.04546515929618	5.87062112872997	4.44685981353256	1.95243082528521	3.72021252747322	5.3853475018556	2.2644848260004	5.53172489470864
La39	8.15007160136665	5.15516951365237	7.36666910258008	8.63047449551615	5.69546576072476	5.09398659106598	8.15689034907095	1.93418611301334	6.14212785431714	0.681499720841956	1.52906361130883	10.3558885509442	8.56972358123108	1.92986051105486	3.77860969601382	8.41817192763421	6.32787255218932	7.96609377055933	7.00692884866339	2.87717749046325	9.24790000039241	6.60927296150586	8.01855468833268	2.2644848260004	8.36664008147283
La40	7.27818126815105	5.45836058142919	5.56386827925739	7.50074743064896	2.24145488633417	6.43805567954702	7.39615408267795	1.93418611301334	6.85868565836044	0.681499720841956	3.5576061844506	8.22156135929053	7.29189050516	3.17736421577009	5.2436732217371	7.71152543802298	6.29869627486778	6.65811967029617	6.4734125238159	2.87717749046325	5.50513430133059	5.57405131557115	8.15197556913238	4.13182326661116	7.70000630310518
La41	8.3314511898517	4.43182688987833	6.7250226786726	6.1285348014154	2.24145488633417	6.0739942902193	5.61552048338638	1.93418611301334	5.84905334804944	0.681499720841956	2.52906361130883	7.01988687507081	8.66735874976435	5.44509681328103	4.83174552158438	6.09259633380667	5.760463439087	7.07027561453542	6.45732089170663	8.5870644191018	4.10682753948283	5.94768537447393	8.63986803085029	4.89250141736044	6.06892436426773
La42	2.08996270411053	5.76662579486019	4.10617352183037	7.13444312674295	2.24145488633417	5.31055968756389	4.2390069142562	1.93418611301334	1.28497340615012	0.681499720841956	3.23983507206148	7.04336715137377	2.62608792669879	1.92986051105486	5.96814191791236	7.04306965218915	6.24039635511146	2.04546515929618	4.67481779167781	2.87717749046325	7.31666329433409	4.814896460593	6.73722143631944	2.2644848260004	6.24732097720925
La43	8.34632762160756	6.1771121614392	5.84547408037242	8.00046699104009	6.81285559847334	5.4040959332678	7.52728726351461	3.15467588192991	5.446978353251	0.681499720841956	2.85701033207748	10.1767843125246	8.6543000954315	1.92986051105486	4.72405473778118	8.06748976427054	7.23079434237962	9.17248038988356	7.61238500636216	2.87717749046325	9.14828560511263	6.40119317459325	7.06367954156019	2.2644848260004	8.1808148224069
La44	6.56746419565133	4.40606373012331	4.7001118523616	6.35180652165155	4.84698680273594	5.36322549658626	7.1158975949888	3.14403367692901	4.080756496405	0.681499720841956	3.99199621951912	7.67241467497802	7.52789668149887	1.92986051105486	1.87102030335075	6.44790713962161	5.76063561351892	4.01252807609229	6.54413939219668	2.87717749046325	6.60674943526146	3.32492509802349	6.30919430331602	2.2644848260004	7.44023277272592
La46	7.85950860021997	6.01038906435239	5.58512780432231	9.08497423204632	5.02353053235138	3.6620936872301	6.94174538717255	1.93418611301334	6.36491381975582	0.681499720841956	1.52906361130883	8.4528184145207	8.21594276755655	1.92986051105486	1.87102030335075	8.99200058815612	6.01224552384487	6.25254104440007	5.89847686622169	2.87717749046325	6.5753760653513	4.25361218957542	5.91936091377581	2.2644848260004	8.03314416757561
La47	7.07661459719702	5.82120776379669	6.2160762587406	7.07286212324792	5.9756942978016	5.40466253085168	6.29238640133483	6.58845380244531	5.37656044852004	6.20931321273088	4.96312973493676	7.0559915537057	7.44755294781189	4.7318608508129	1.87102030335075	7.07286212324792	6.87218047377112	3.16371288755768	6.31281949387674	4.93668477288136	5.04245564346758	1.68842874390552	6.07461773869852	2.2644848260004	6.30467872146537
