Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg_39 pair1	decontaminated hg_39 pair2	decontaminated hg_39 orphan1	decontaminated hg_39 orphan2	final pair1	final pair2	final orphan1	final orphan2
La78	276120.0	276120.0	150156.0	150156.0	17748.0	8468.0	147457.0	147457.0	17294.0	8321.0	147457.0	147457.0	17294.0	8321.0
La79	262816.0	262816.0	162643.0	162643.0	15412.0	7232.0	160473.0	160473.0	15012.0	7106.0	160473.0	160473.0	15012.0	7106.0
La80	561964.0	561964.0	474456.0	474456.0	17606.0	12206.0	472981.0	472981.0	17335.0	12129.0	472981.0	472981.0	17335.0	12129.0
La81	257849.0	257849.0	135766.0	135766.0	16548.0	8598.0	133960.0	133960.0	16122.0	8452.0	133960.0	133960.0	16122.0	8452.0
La82	281729.0	281729.0	172437.0	172437.0	16115.0	8969.0	170397.0	170397.0	15714.0	8843.0	170397.0	170397.0	15714.0	8843.0
La83	462696.0	462696.0	337920.0	337920.0	20668.0	12458.0	335448.0	335448.0	20212.0	12310.0	335448.0	335448.0	20212.0	12310.0
La84	284514.0	284514.0	199244.0	199244.0	13774.0	7999.0	197217.0	197217.0	13415.0	7872.0	197217.0	197217.0	13415.0	7872.0
La85	1067639.0	1067639.0	835365.0	835365.0	39996.0	28352.0	831485.0	831485.0	39301.0	28089.0	831485.0	831485.0	39301.0	28089.0
La86	432221.0	432221.0	312992.0	312992.0	22014.0	14392.0	310310.0	310310.0	21605.0	14248.0	310310.0	310310.0	21605.0	14248.0
La87	229325.0	229325.0	122266.0	122266.0	15099.0	8088.0	119317.0	119317.0	14619.0	7911.0	119317.0	119317.0	14619.0	7911.0
La88	228956.0	228956.0	121367.0	121367.0	15390.0	6562.0	118798.0	118798.0	14888.0	6433.0	118798.0	118798.0	14888.0	6433.0
La89	218578.0	218578.0	88892.0	88892.0	16833.0	7841.0	86715.0	86715.0	16286.0	7667.0	86715.0	86715.0	16286.0	7667.0
La90	353812.0	353812.0	191494.0	191494.0	25939.0	12364.0	188153.0	188153.0	25217.0	12178.0	188153.0	188153.0	25217.0	12178.0
La91	253212.0	253212.0	138653.0	138653.0	16700.0	7712.0	135836.0	135836.0	16152.0	7562.0	135836.0	135836.0	16152.0	7562.0
La92	299251.0	299251.0	199073.0	199073.0	17819.0	9194.0	197359.0	197359.0	17331.0	9067.0	197359.0	197359.0	17331.0	9067.0
La93	282676.0	282676.0	139738.0	139738.0	19368.0	9057.0	137465.0	137465.0	18791.0	8875.0	137465.0	137465.0	18791.0	8875.0
La94	400110.0	400110.0	209394.0	209394.0	28098.0	13330.0	205402.0	205402.0	27313.0	13089.0	205402.0	205402.0	27313.0	13089.0
La95	254344.0	254344.0	154427.0	154427.0	16045.0	7643.0	152714.0	152714.0	15562.0	7527.0	152714.0	152714.0	15562.0	7527.0
