Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS00475	2.04800944398499	3.06403980054259	0.928794495071057	3.29894267978857	0.000970497260219573	0.0168366570144153	28	0.0460923236968619	NZ_CP028101.1		RnfABCDGE type electron transport complex subunit B	F. nucleatum	CRC vs Paired
C7Y58_RS01935	3.79843723043758	2.41714223378985	0.734490825109752	3.29090868279895	0.000998643252454201	0.0170663660307472	41	0.0628975225748709	NZ_CP028101.1	nifS	cysteine desulfurase NifS	F. nucleatum	CRC vs Paired
C7Y58_RS00500	3.6925316237295	2.46168302145174	0.753575988381614	3.26666860330631	0.00108820986129755	0.0178863307249725	42	0.0480438951794694	NZ_CP028101.1	rsxC	electron transport complex subunit RsxC	F. nucleatum	CRC vs Paired
C7Y58_RS00645	4.29747280985453	2.39133197682859	0.731710055083885	3.26814147245037	0.0010825623822611	0.0178863307249725	41	0.0382318274474705	NZ_CP028101.1	rplO	50S ribosomal protein L15	F. nucleatum	CRC vs Paired
C7Y58_RS07005	3.06729190325037	2.09205037391634	0.640691908184522	3.26529857360681	0.00109348746790225	0.0178863307249725	51	0.0230393855585608	NZ_CP028101.1		urocanate hydratase	F. nucleatum	CRC vs Paired
C7Y58_RS00195	2.66054941087409	2.63749459107915	0.812518056673848	3.24607504955162	0.00117007989137922	0.0186075204948501	35	0.0406577392209896	NZ_CP028101.1		electron transfer flavoprotein subunit beta/FixA family protein	F. nucleatum	CRC vs Paired
C7Y58_RS04085	2.75847303854361	2.34907757673416	0.722862602593694	3.2496875178014	0.00115531881168654	0.0186075204948501	43	0.0347894721934268	NZ_CP028101.1		sodium ion-translocating decarboxylase subunit beta	F. nucleatum	CRC vs Paired
I6J55_RS18515	1.77419808065704	1.65256478618775	0.51189082603354	3.22835398124418	0.00124504803578007	0.0195284931639477	57	0.0229851752395994	NZ_CP069563.1		IMP dehydrogenase	B. fragilis	CRC vs Paired
C7Y58_RS03960	1.34418724436442	2.49659962123521	0.77512637879228	3.22089363688687	0.00127791565449618	0.0197731543837584	35	0.0249502993019473	NZ_CP028101.1	minD	septum site-determining protein MinD	F. nucleatum	CRC vs Paired
C7Y58_RS01890	2.18159277763358	2.41429705492621	0.754407824051428	3.2002545280623	0.00137306273525665	0.0209620910915849	40	0.0341118432064103	NZ_CP028101.1	ileS	isoleucine--tRNA ligase	F. nucleatum	CRC vs Paired
C7Y58_RS06485	2.28722110790544	3.4333181361833	1.08085072236951	3.17649612950856	0.00149065778662596	0.0224579363906149	24	0.0553893933987281	NZ_CP028101.1	panF	sodium/pantothenate symporter	F. nucleatum	CRC vs Paired
C7Y58_RS08625	1.82730662298844	2.43165254994637	0.768681609694409	3.16340669436996	0.00155934327682282	0.0231876370384692	41	0.0308592240687311	NZ_CP028101.1	rpmA	50S ribosomal protein L27	F. nucleatum	CRC vs Paired
I6J55_RS14120	7.98349300946548	-1.59166685107645	0.505258558371001	-3.15020265308939	0.00163157245686672	0.023351880788905	83	0.0236221464873949	NZ_CP069563.1		SusC/RagA family TonB-linked outer membrane protein	B. fragilis	CRC vs Paired
C7Y58_RS02780	2.02940821509036	2.38950510227633	0.756796920757651	3.1573927387074	0.00159186788570796	0.023351880788905	36	0.0393702441456582	NZ_CP028101.1	tig	trigger factor	F. nucleatum	CRC vs Paired
C7Y58_RS04765	1.5523427008951	3.08680202629489	0.97936541230925	3.15183892293736	0.0016224574871342	0.023351880788905	26	0.0203695273497158	NZ_CP028101.1		Na+/H+ antiporter family protein	F. nucleatum	CRC vs Paired
C7Y58_RS00740	6.44684139368963	2.16426194667176	0.689408099931417	3.13930449451792	0.00169349375749275	0.023938893238632	55	0.134143434269785	NZ_CP028101.1	rplC	50S ribosomal protein L3	F. nucleatum	CRC vs Paired
C7Y58_RS01455	16.3118143350104	2.30620662446113	0.735919086515205	3.13377743113269	0.00172571697427893	0.0240969016530411	55	0.303374497487284	NZ_CP028101.1		MliC family protein	F. nucleatum	CRC vs Paired
C7Y58_RS02265	1.79775605510101	2.95010845709783	0.942789308279512	3.12912803655088	0.00175325893701783	0.0241865238901858	27	0.0321738243035431	NZ_CP028101.1	pheT	phenylalanine--tRNA ligase subunit beta	F. nucleatum	CRC vs Paired
C7Y58_RS00180	2.57926431692771	2.83902500714427	0.912995224020325	3.10957268170887	0.00187358182349245	0.0255387046178435	31	0.0321060614048414	NZ_CP028101.1		LrgB family protein	F. nucleatum	CRC vs Paired
I6J55_RS14405	9.46792429636773	-1.80146583159503	0.581698865287024	-3.09690449663529	0.00195552864348547	0.0258714568721592	77	0.00978496257251816	NZ_CP069563.1		6-bladed beta-propeller	B. fragilis	CRC vs Paired
