Geneid	rab.all	rab.win.CRC	rab.win.Healthy	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS03545	2.91382113099336	4.9998492112702	1.44920536689895	-4.14273571850596	4.84219665198842	-0.771751203732779	0.20152244210034	5.05495317148828e-05	0.0163475347832575	5.64940909852451e-06	0.0037472044668813	49	0.664916188831995	NZ_CP028101.1	fomA	major outer membrane protein FomA	F. nucleatum	CRC vs Healthy
C7Y58_RS00625	1.6824117257316	3.74830015036592	0.480630127700926	-3.09044751766653	4.49767840457647	-0.622373332428925	0.22947537555671	0.000986024361001834	0.0630242794759812	0.000142937609214822	0.0149832554505974	35	0.0989582816923627	NZ_CP028101.1	tsf	translation elongation factor Ts	F. nucleatum	CRC vs Healthy
C7Y58_RS00725	2.15348019648091	3.97507504384027	0.784814747384893	-3.10569602484179	4.59286850688042	-0.61158183703281	0.233974363937784	0.000940317580147476	0.0670340825571769	0.000120658592024263	0.0160278841917287	40	0.137227478111751	NZ_CP028101.1	rplB	50S ribosomal protein L2	F. nucleatum	CRC vs Healthy
C7Y58_RS01655	3.93677041342159	4.60415679643934	2.83803690626497	-1.918388218492	3.66297816736024	-0.461900857834357	0.263621798943673	0.00111089185715527	0.0813472246175021	0.000399900175483215	0.0366289863062319	58	0.177405694770158	NZ_CP028101.1	dnaK	molecular chaperone DnaK	F. nucleatum	CRC vs Healthy
C7Y58_RS00620	3.81391711340008	4.58356853815269	2.22330263411621	-2.22842213914509	3.66082952717762	-0.538441947938667	0.227564107746941	0.0016179960491504	0.082196259498951	6.16838731477678e-05	0.0124313992817077	55	0.121836927347573	NZ_CP028101.1	rpsB	30S ribosomal protein S2	F. nucleatum	CRC vs Healthy
C7Y58_RS01455	1.95007143296929	3.64526734422663	0.472591686442215	-3.55918202629652	5.2960008473835	-0.591811928488654	0.247096520361227	0.00200410833926011	0.0995551096296138	0.000497501457880248	0.0329125097493688	36	0.328129502013572	NZ_CP028101.1		MliC family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS02665	2.23510072384337	3.57601979995816	0.772212352965705	-2.73668026076117	4.41034232688955	-0.555868304411145	0.240688831332879	0.0020882115505544	0.102860548187394	0.000269003198557769	0.0242428748567063	39	0.117086574659784	NZ_CP028101.1	rplK	50S ribosomal protein L11	F. nucleatum	CRC vs Healthy
C7Y58_RS00315	3.01944357557084	4.10723691021187	1.67599365724889	-2.40272101814532	4.02695180687765	-0.525475936621629	0.22947537555671	0.00409087548322365	0.111559390716094	9.710061414677e-05	0.0150942202449997	48	0.0892207986127194	NZ_CP028101.1	rpsL	30S ribosomal protein S12	F. nucleatum	CRC vs Healthy
C7Y58_RS01935	1.20853709396892	3.12100977008164	0.0609373445573995	-2.92336842144711	4.66326319412339	-0.54469399966552	0.256708053919992	0.00334062859964393	0.119574625144652	0.000549981122939668	0.0343349937578552	30	0.0671412777087258	NZ_CP028101.1	nifS	cysteine desulfurase NifS	F. nucleatum	CRC vs Healthy
C7Y58_RS02675	1.66123705065145	3.42842460006411	0.428396051356636	-3.07844587425737	4.83293651666526	-0.578473838998718	0.252403850541682	0.00346078722269292	0.120008547434453	0.00100890213716522	0.0422003021189775	36	0.13633956172151	NZ_CP028101.1	rplJ	50S ribosomal protein L10	F. nucleatum	CRC vs Healthy
C7Y58_RS09430	2.19449751122187	3.7908465137875	0.749057734642149	-2.94327860712404	4.5026434587241	-0.580439014352124	0.243990389256537	0.0031484810833204	0.12469905727479	0.000214420789330181	0.0219053143107202	38	0.0872377853411811	NZ_CP028101.1	rplQ	50S ribosomal protein L17	F. nucleatum	CRC vs Healthy
C7Y58_RS08615	1.37773248438592	3.02308163771559	0.0432785511124463	-2.94668067312548	4.57981450886816	-0.567563072873404	0.243892675845911	0.00316965646136946	0.125418795548116	0.000428995933350754	0.03003748950894	31	0.0703081795005855	NZ_CP028101.1	rplU	50S ribosomal protein L21	F. nucleatum	CRC vs Healthy
C7Y58_RS04185	1.51575636645573	3.29582134021043	0.262858750533963	-3.18064553756133	4.83023027994223	-0.57803967037905	0.25480769662582	0.00348267844338617	0.134643092346592	0.000863503843502844	0.0471802684848238	31	0.112883770412643	NZ_CP028101.1		carbon starvation CstA family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS00640	1.8085471276866	3.86366307878438	0.503820295963899	-3.13280165154038	4.7793196749689	-0.578476341578961	0.239086909077251	0.0047832627007285	0.142970750660556	0.000206252187319922	0.0210690773220498	35	0.173543258472609	NZ_CP028101.1	secY	preprotein translocase subunit SecY	F. nucleatum	CRC vs Healthy
I6J55_RS13200	3.50158378530288	4.11968842107524	2.31950897533197	-1.84693225667531	3.69107574867281	-0.43686985215335	0.274729679388369	0.00404618808600535	0.150854822799738	0.00127862944000398	0.0640355121198958	54	0.0706485474501779	NZ_CP069563.1		uroporphyrinogen-III synthase	B. fragilis	CRC vs Healthy
C7Y58_RS02250	1.66074718062	2.90183521190243	0.431244542821028	-2.36415024256985	3.97149091126123	-0.52608410297935	0.253103728833289	0.00500959406693943	0.15509417732348	0.000633064385976705	0.0366827234914576	34	0.0385355713364607	NZ_CP028101.1	gyrA	DNA gyrase subunit A	F. nucleatum	CRC vs Healthy
C7Y58_RS09435	1.89779740876229	3.44624174536256	0.659014369785044	-2.98555913794944	4.74065120337412	-0.551978428289419	0.256307573354679	0.00607745726479298	0.16266980245752	0.000653491908543003	0.0403745561484527	38	0.188179080305082	NZ_CP028101.1		DNA-directed RNA polymerase subunit alpha	F. nucleatum	CRC vs Healthy
C7Y58_RS02945	2.916691833136	4.41782976702152	2.22436338167374	-2.78124932729139	4.50575662882243	-0.532461308639153	0.279535446188761	0.00465979836743268	0.163878845471874	0.00103562233510951	0.0612160817661392	52	0.266212132400765	NZ_CP028101.1	ahpC	alkyl hydroperoxide reductase subunit C	F. nucleatum	CRC vs Healthy
C7Y58_RS02670	4.5750599388063	5.27868535781808	3.17034810858284	-1.84794377273444	3.97205090927426	-0.415836984999774	0.286858977843092	0.00393390341823688	0.164941867544987	0.00188318185423775	0.0922830578141411	59	0.189984510298572	NZ_CP028101.1	rplA	50S ribosomal protein L1	F. nucleatum	CRC vs Healthy
C7Y58_RS03300	1.58337194100034	3.23079479231071	0.467997185924697	-2.85397267016299	4.84404108504476	-0.5135773026841	0.276041670414227	0.00597356141933574	0.172997308318474	0.00285849732954615	0.0838171671209686	33	0.100245760458212	NZ_CP028101.1		BamA/OMP85 family outer membrane protein	F. nucleatum	CRC vs Healthy
C7Y58_RS02715	3.28402213379813	4.67346753548656	1.99620479939051	-2.62407544180344	4.6504183728859	-0.513870717970794	0.258309976181546	0.00513947508348723	0.181289079995005	0.00048745548323401	0.0397322954605693	47	0.251013963521139	NZ_CP028101.1		sodium-translocating pyrophosphatase	F. nucleatum	CRC vs Healthy
C7Y58_RS08430	1.0434487745353	3.00452757719969	0.130850933421783	-3.05087372096401	5.19755784387233	-0.528787592334408	0.279935926755613	0.00852954356249467	0.191159330047996	0.00428157434098472	0.10718042469872	26	0.135540436970293	NZ_CP028101.1		Dps family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS09445	2.37659686512031	3.43373789925836	1.2591411223392	-2.20443040701308	4.21920786227938	-0.46604751208582	0.276331601654785	0.00638446744442642	0.193598816414606	0.00143043096634867	0.0690330988496307	45	0.0974192266159449	NZ_CP028101.1	rpsK	30S ribosomal protein S11	F. nucleatum	CRC vs Healthy
C7Y58_RS04710	3.53304545567984	4.70432544648371	2.07658789277486	-2.19269691981066	4.16048533928377	-0.467875599570739	0.255608978654116	0.00645658364344824	0.200784062422204	0.000343138637335512	0.0338819077543644	50	0.105218092243562	NZ_CP028101.1	rpsI	30S ribosomal protein S9	F. nucleatum	CRC vs Healthy
C7Y58_RS05515	2.12215621791995	3.66788793125444	1.07797234706588	-2.74273327869318	4.96739532658357	-0.490080608136326	0.277533043354849	0.00720117737310842	0.20195809922047	0.00236307711917069	0.0870489880758985	39	0.158182304921439	NZ_CP028101.1		Glu/Leu/Phe/Val family dehydrogenase	F. nucleatum	CRC vs Healthy
I6J55_RS12400	4.94383133534174	5.42315319133942	4.37177106011123	-1.4722767809309	3.19205058561056	-0.388151393433072	0.296474362237393	0.00491509841917361	0.202188861220545	0.00247304244988151	0.106234441994109	68	0.244265798955307	NZ_CP069563.1	rpsT	30S ribosomal protein S20	B. fragilis	CRC vs Healthy
C7Y58_RS02940	1.57164723241246	3.68787404088843	0.380118003779607	-3.0734425297635	5.1631572814542	-0.523467850813668	0.272035260259733	0.006835008358011	0.203264414115171	0.00138236167706302	0.0658819072851	32	0.10561765461917	NZ_CP028101.1		FAD-dependent oxidoreductase	F. nucleatum	CRC vs Healthy
C7Y58_RS05350	1.18479854502057	2.81975206999968	-0.0253952880676005	-2.60444219192662	4.54159628957409	-0.502618821277724	0.256307573354679	0.0107217621660833	0.206446844893644	0.000715795407171771	0.0430956721176623	28	0.0385355713364607	NZ_CP028101.1		aldehyde dehydrogenase family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS00200	1.80196160400203	3.29382235856674	0.707588288247634	-2.5626123131586	4.61232481418033	-0.48449979065329	0.276041670414227	0.0103982355654291	0.221921209291547	0.00186655396623367	0.0772688839470239	36	0.0696570408144088	NZ_CP028101.1		acyl-CoA dehydrogenase family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS00740	1.99898365231072	3.73643855637449	0.883071664028213	-2.75764076050927	4.89021281131698	-0.486927825671277	0.286343615828303	0.0113856803994306	0.225705712581775	0.00226790893469776	0.0852425793052225	39	0.143161719319862	NZ_CP028101.1	rplC	50S ribosomal protein L3	F. nucleatum	CRC vs Healthy
C7Y58_RS09450	1.70802435044228	3.38781257707943	0.564968147001887	-2.59313612536237	4.57633894034546	-0.494989067239363	0.272035260259733	0.0138872811472746	0.226335297399429	0.00135916560231978	0.061129552436507	34	0.0695090547493686	NZ_CP028101.1	rpsM	30S ribosomal protein S13	F. nucleatum	CRC vs Healthy
C7Y58_RS00665	1.29800847551848	2.79168577816224	0.231493080424065	-2.50554787880255	4.52390954348832	-0.488613573470054	0.277933523921585	0.0116554086186891	0.230870516822758	0.00244219657866519	0.0816301845970168	30	0.0730459217038287	NZ_CP028101.1	rplF	50S ribosomal protein L6	F. nucleatum	CRC vs Healthy
