Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS04430	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04435	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04440	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04445	0.104702543547026	-2.59636942566371	5.50464087704638	-0.471669175820393	0.637162942028473	NA	1	3.39787252405524e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04450	0.0382235299571624	-3.02380146516325	5.50893416009516	-0.548890470876679	0.583080618057824	NA	1	3.39787252405524e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04455	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		DUF4120 family protein	B. fragilis	CRC vs Healthy
I6J55_RS04460	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04465	0.104702543547026	-2.59636942566371	5.50464087704638	-0.471669175820393	0.637162942028473	NA	1	3.39787252405524e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04470	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04475	0.314107630641078	-1.3646118302346	5.49474534891941	-0.248348511820109	0.80386476738952	NA	1	0.000101936175721657	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04480	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04485	1.79967485696194	0.829416073272974	4.95147754411563	0.16750880234904	0.866969722110833	NA	4	0.000305808527164971	NZ_CP069563.1		J domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04490	1.17924649826281	-0.73207267259275	3.6590728785696	-0.200070536140546	0.841425416226109	NA	5	0.000390755340266352	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04495	0.405526858052886	-1.02613725625907	4.37967554748344	-0.234295268024749	0.814755759271071	NA	4	0.000254840439304143	NZ_CP069563.1		helix-turn-helix domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04500	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04505	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		TIGR02757 family protein	B. fragilis	CRC vs Healthy
I6J55_RS04510	0.13226561387956	-2.14992737665383	5.50097966698248	-0.390826272192559	0.695925654023383	NA	1	0.000101936175721657	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04515	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04520	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		tyrosine-type recombinase/integrase	B. fragilis	CRC vs Healthy
I6J55_RS04525	2.32209020648962	1.18986296443663	4.97733206100151	0.239056375956804	0.8110618680518	NA	4	0.000373765977646076	NZ_CP069563.1		BRCT domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04530	0.404031556385748	-1.07197719719126	5.49235728556968	-0.195176158697417	0.845255042731208	NA	2	0.000152904263582486	NZ_CP069563.1	dut	dUTP diphosphatase	B. fragilis	CRC vs Healthy
I6J55_RS04535	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04540	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04545	1.38101990940212	-6.69010911452795	5.22082549506759	-1.28142745258359	0.20004356669985	NA	2	5.09680878608286e-05	NZ_CP069563.1		DUF4494 family protein	B. fragilis	CRC vs Healthy
I6J55_RS04550	0.699876825884212	-0.35715898788178	3.42294033879066	-0.104342744112205	0.916897358124023	NA	5	0.000373765977646076	NZ_CP069563.1		phage portal protein family protein	B. fragilis	CRC vs Healthy
I6J55_RS04555	0.367711121345126	-1.14365000684049	5.49295019777007	-0.208203236087006	0.835070281926261	NA	2	0.000271829801924419	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04560	0.792830062922878	0	5.51707553775702	0	1	NA	1	3.39787252405524e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04565	0.231103149423895	-1.64551198432197	5.49662231637156	-0.299367846217276	0.764659392816199	NA	3	0.00013591490096221	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04570	0.837620348376208	-0.191017401626206	5.4860505192292	-0.0348187463744034	0.972224272249286	NA	1	0.000271829801924419	NZ_CP069563.1		ATP-dependent Clp protease proteolytic subunit	B. fragilis	CRC vs Healthy
I6J55_RS04575	4.08706254859113	2.07019965629784	4.938770206389	0.419173107835578	0.675089624218089	NA	4	0.00161398944892624	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04580	1.77755120796011	-5.09962068198663	3.97979738523786	-1.28137696177763	0.200061292196624	NA	4	0.000118925538341933	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04585	0.418810174188104	-1.03546910692785	5.49206551960641	-0.188539103044433	0.850454065316791	NA	1	0.00013591490096221	NZ_CP069563.1		DUF2586 family protein	B. fragilis	CRC vs Healthy
I6J55_RS04590	0.052351271773513	-3.24750688207086	5.51167850258147	-0.58920470062792	0.555723964257802	NA	1	1.69893626202762e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04595	0.718901663012727	-0.459790992678012	5.48822531268116	-0.0837777180203613	0.933233164170756	NA	2	0.000152904263582486	NZ_CP069563.1		DUF6848 family protein	B. fragilis	CRC vs Healthy
I6J55_RS04600	2.26954742492522	-0.454844884719824	3.85935210048231	-0.117855244320149	0.906182355877809	NA	5	0.000339787252405524	NZ_CP069563.1		phage tail tape measure protein	B. fragilis	CRC vs Healthy
I6J55_RS04610	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04615	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04620	0.253493625053905	-1.57702519771378	5.49613253437209	-0.286933618840388	0.774163148211802	NA	2	0.000101936175721657	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04625	1.27094118419644	0.39605614779793	4.54366684720635	0.0871666345963377	0.930539060115491	NA	4	0.000475702153367733	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04630	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04635	5.02127040474648	2.1535208826441	3.82525188004551	0.562974923005197	0.573451960079113	NA	6	0.0014271064601032	NZ_CP069563.1		Lcl domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04640	0.157053815320539	-2.06994362269972	5.50019165165364	-0.376340272084407	0.706663943397705	NA	1	5.09680878608286e-05	NZ_CP069563.1		four helix bundle protein	B. fragilis	CRC vs Healthy
I6J55_RS04645	2.27248210778348	1.18722599943695	5.47630683145425	0.216793184892031	0.828369523331181	NA	3	0.000730542592671876	NZ_CP069563.1		reverse transcriptase domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04650	0.0795207378769243	-2.5490736851677	5.50423314020955	-0.463111503498315	0.643284444852879	NA	1	6.79574504811048e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS21695	0.0795207378769243	-2.5490736851677	5.50423314020955	-0.463111503498315	0.643284444852879	NA	1	6.79574504811048e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04660	0.747950131838861	-0.435749417881971	5.48801545086959	-0.0794001805904036	0.936714325006209	NA	2	0.000101936175721657	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04665	0.373714233230653	-1.20640021597248	4.66356326337313	-0.258686362303124	0.795877242793902	NA	4	0.000152904263582486	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04670	0.314107630641078	-1.3646118302346	5.49474534891941	-0.248348511820109	0.80386476738952	NA	1	0.000101936175721657	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04675	0.104702543547026	-2.59636942566371	5.50464087704638	-0.471669175820393	0.637162942028473	NA	1	3.39787252405524e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04680	0.80134579818005	-0.486527605495384	5.48841257323802	-0.0886463251446758	0.929362990835635	NA	3	0.000169893626202762	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04685	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS22025	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		GIY-YIG nuclease family protein	B. fragilis	CRC vs Healthy
I6J55_RS04695	0.236968157426586	-1.62072429430356	5.49644252665733	-0.294867868888498	0.768094818097242	NA	2	0.00013591490096221	NZ_CP069563.1		FAD-dependent thymidylate synthase	B. fragilis	CRC vs Healthy
I6J55_RS04700	0.778505877166784	-0.278712335940802	5.48671996808706	-0.0507976236370552	0.959486784497206	NA	2	0.000339787252405524	NZ_CP069563.1	nrdD	anaerobic ribonucleoside-triphosphate reductase	B. fragilis	CRC vs Healthy
I6J55_RS04705	0.13226561387956	-2.14992737665383	5.50097966698248	-0.390826272192559	0.695925654023383	NA	1	0.000101936175721657	NZ_CP069563.1		4Fe-4S cluster-binding domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04710	0.144462912485488	-2.12494742632839	5.50072925265848	-0.386302857080525	0.699272384785343	NA	2	6.79574504811048e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04715	4.29120878280662	-1.8746377005114	2.63086923291735	-0.712554496079089	0.476121477999492	NA	7	0.00132517028438154	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04720	5.15222167683313	2.3936841607978	4.82824823621252	0.495766589390504	0.620059099756426	NA	4	0.00265034056876309	NZ_CP069563.1		metallophosphoesterase family protein	B. fragilis	CRC vs Healthy
I6J55_RS04725	1.77804095090474	-4.33127291187063	3.93094265385903	-1.10184077796673	0.270530898824837	NA	4	0.000373765977646076	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04730	0.897532606469904	-2.59635370689959	5.50464073948072	-0.471666332060123	0.63716497216009	NA	3	0.000679574504811048	NZ_CP069563.1		crossover junction endodeoxyribonuclease RuvC	B. fragilis	CRC vs Healthy
I6J55_RS04735	0.157053815320539	-2.06994362269972	5.50019165165364	-0.376340272084407	0.706663943397705	NA	1	5.09680878608286e-05	NZ_CP069563.1		RNA polymerase sigma factor	B. fragilis	CRC vs Healthy
I6J55_RS04740	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
