Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS03415	2.9927009634001	2.4492083517748	2.8673438367662	0.854173231814789	0.393009012503872	NA	5	0.00125721283390044	NZ_CP028101.1	trhA	PAQR family membrane homeostasis protein TrhA	F. nucleatum	CRC vs Paired
C7Y58_RS03420	0.671534593353877	-0.0661866079298345	3.222579045846	-0.0205383970379721	0.983613882122279	NA	5	0.000951404306735467	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03425	2.21554868134234	-2.93310631228783	3.88287080114823	-0.755396319501659	0.450011220921422	NA	3	0.000271829801924419	NZ_CP028101.1		IS110-like element ISFnu4 family transposase	F. nucleatum	CRC vs Paired
C7Y58_RS03455	0.491566336560363	-1.15026972754581	4.08883968085191	-0.281319351534504	0.778465469025502	NA	3	0.00118925538341933	NZ_CP028101.1		NCS2 family permease	F. nucleatum	CRC vs Paired
C7Y58_RS03460	2.25726242132937	2.02072182492001	3.76944987130601	0.536078710132809	0.591904153315549	NA	4	0.000373765977646076	NZ_CP028101.1		DJ-1/PfpI family protein	F. nucleatum	CRC vs Paired
C7Y58_RS03480	1.86635825431636	1.7188167840235	4.0596073028956	0.423394839889444	0.672007209077211	NA	3	0.0027862554697253	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03485	3.86283613296145	2.80936492788291	4.05378770511859	0.69302221335755	0.488295611396572	NA	3	0.000407744702886629	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03490	1.66227080163603	1.65291615020834	4.06011182491157	0.407110991393528	0.683926470979909	NA	3	0.000917425581494915	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03595	5.43846038919656	3.32199601167376	2.57352429711815	1.29083530137786	0.196760793938932	NA	6	0.00190280861347093	NZ_CP028101.1		F390 synthetase-related protein	F. nucleatum	CRC vs Paired
C7Y58_RS03600	4.7194502018994	0.539609302827358	3.05221574579105	0.176792647627046	0.859671264429374	NA	5	0.00118925538341933	NZ_CP028101.1		MBL fold metallo-hydrolase	F. nucleatum	CRC vs Paired
