# Pathway	La100_cat_Abundance	La101_cat_Abundance	La102_cat_Abundance	La103_cat_Abundance	La104_cat_Abundance	La105_cat_Abundance	La106_cat_Abundance	La107_cat_Abundance	La108_cat_Abundance	La109_cat_Abundance	La110_cat_Abundance	La111_cat_Abundance	La112_cat_Abundance	La113_cat_Abundance	La114_cat_Abundance	La115_cat_Abundance	La116_cat_Abundance	La117_cat_Abundance	La118_cat_Abundance	La119_cat_Abundance	La120_cat_Abundance	La121_cat_Abundance	La122_cat_Abundance	La123_cat_Abundance	La124_cat_Abundance	La34_cat_Abundance	La35_cat_Abundance	La36_cat_Abundance	La37_cat_Abundance	La38_cat_Abundance	La39_cat_Abundance	La40_cat_Abundance	La41_cat_Abundance	La42_cat_Abundance	La43_cat_Abundance	La44_cat_Abundance	La46_cat_Abundance	La47_cat_Abundance	La48_cat_Abundance	La49_cat_Abundance	La51_cat_Abundance	La52_cat_Abundance	La53_cat_Abundance	La55_cat_Abundance	La56_cat_Abundance	La57_cat_Abundance	La58_cat_Abundance	La59_cat_Abundance	La60_cat_Abundance	La61_cat_Abundance	La62_cat_Abundance	La63_cat_Abundance	La64_cat_Abundance	La65_cat_Abundance	La66_cat_Abundance	La67_cat_Abundance	La69_cat_Abundance	La70_cat_Abundance	La74_cat_Abundance	La75_cat_Abundance	La76_cat_Abundance	La78_cat_Abundance	La79_cat_Abundance	La80_cat_Abundance	La81_cat_Abundance	La82_cat_Abundance	La83_cat_Abundance	La84_cat_Abundance	La85_cat_Abundance	La86_cat_Abundance	La87_cat_Abundance	La88_cat_Abundance	La90_cat_Abundance	La91_cat_Abundance	La92_cat_Abundance	La93_cat_Abundance	La94_cat_Abundance	La95_cat_Abundance	La96_cat_Abundance	La97_cat_Abundance	La99_cat_Abundance	Lasse20_cat_Abundance	Lasse25_cat_Abundance	Lasse9_cat_Abundance
P101-PWY: ectoine biosynthesis	0	0	0	0	0	142.4772700817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	24.3670290021	0	0	0	0	0	40.5424743652	0	0	0	24.5674510531	43.6809160606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0186902950	0	0	0	0	0	0	0	0	0	0	37.1132084958	0	7.3589874159	0	0	0	0	0	0	0	0	0	126.9837430194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.0464525005	0	25.0564501425	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0	0	12.4221925490	284.6233331720	0	52.7137667282	20.9837970594	37.7943004184	0	0	0	0	0	0	107.0487018332	15.7819950008	0	0	0	0	0	13.9739120613	0	0	0	0	0	0	0	29.2385248397	0	0	0	0	42.0339901874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.3796588430	0	0	0	0	0	0	224.6016351156	0	0	0	0	0	18.3907037397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P122-PWY: heterolactic fermentation	0	0	0	0	0	0	139.1718964450	9.5987816969	0	0	0	0	0	0	0	0	0	34.0025975462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9155529611	0	0	0	0	0	0	0	0	0	0	0	0	38.2944242666	0	0	0	0	0	0	0	47.1456383690	0	0	0	0	0	0	46.8000494675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.2517724832	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	0	0	0	0	138.9036701169	65.4061957375	40.2184941318	0	0	0	0	0	0	0	0	76.9070359549	27.0468326927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.6853825876	48.7495220328	0	0	0	0	0	0	0	0	0	0	43.0540799165	44.4320493644	0	0	0	0	0	114.2274690502	0	0	0	73.8965890819	121.6025069708	0	0	0	0	0	0	0	145.1935619366	0	0	0	0	0	0	0	0	0	955.1823163340	0	0	0	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0	0	0	0	0	0	10.3299050077	0	0	0	117.4247342292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation (anaerobic)	71.6616805998	0	0	0	0	0	162.2006568584	3.8354140525	0	12.4244076762	1010.8275665515	0	76.6998168539	0	0	0	16.6250645769	16.9216244898	0	0	18.6893536114	0	0	0	7.3403864768	0	0	0	0	0	79.1539330937	0	46.1066438205	0	15.1049415684	0	0	0	8.0992322656	0	0	0	0	0	0	116.5354775060	0	0	0	3.8564180348	0	0	0	61.4214300235	0	12.6880086985	0	762.2087820822	0	18.0839180867	18.0949760430	0	0	36.4642625733	0	0	0	0	0	26.6986951463	0	0	0	0	0	0	0	0	29.6115706824	0	22.8891952884	7.9335702190	9.7322091206	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0	0	0	0	0	0	0	979.4766018683	0	0	0	0	0	0	0	0	0	0	0	52.0420781201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.7840612875	0	0	0	0	297.3874105340	0	0	37.1420470190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435.0367140521	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	261.0026738013	0	26.7887653982	30.9238311895	0	0	462.5292830625	0	16.8310792380	0	137.1647582494	52.1841598296	51.7180232208	37.8778680974	103.7731978321	36.9973848927	0	9.6160400613	0	33.3078506905	17.3143536874	0	0	0	56.5929269670	0	17.9810453366	0	0	9.1560056429	367.7178646514	9.7240238439	32.4728214090	0	111.6590802471	49.6256641631	49.7667338674	0	77.8355198907	10.2349893746	0	33.6311283078	17.8381548323	0	8.2588742507	0	46.2192224044	0	0	0	8.3436528444	0	13.8824262328	466.7966090155	0	16.0432124793	0	0	30.7346875921	143.6572093803	174.9619443215	0	0	83.5715688870	12.1449586362	0	0	0	182.6343669079	24.3204948298	0	0	0	0	5.4797988741	0	0	34.0048656349	683.0647960828	80.4428940490	22.3451416836	0	13.8243349330	22.8308591751
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	0	34.3433827341	0	0	168.3265059692	13.9017653498	35.1870706840	24.9313941641	838.8777914323	0	50.6925256381	0	0	0	0	0	0	0	0	0	58.1365711283	0	9.1471882827	0	0	0	0	0	308.1438475857	0	44.6831899487	0	54.3597573721	0	133.8652458812	8.4891521466	0	64.8953886248	0	0	0	0	119.0275879558	0	0	22.6568984718	0	0	0	0	0	141.0785751671	0	0	0	14.0710014610	0	43.0964614113	209.2099915287	0	0	9.4134828885	0	0	11.7692418036	0	0	0	0	0	0	14.2727910069	10.5923796272	0	0	0	241.3559167190	0	0	0	11.3271138543	0
P221-PWY: octane oxidation	0	0	0	0	0	0	0	0	2.8475147738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1104814386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23-PWY: reductive TCA cycle I	0	0	0	0	0	0	24.9615941096	0	0	0	23.0731484609	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9653293855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322.9404413113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	0	0	0	0	0	77.8396870072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.7904324976	0	0	0	0	41.9943884453	0	0	0	0	0	0	0	40.9270670329	0	38.0970383702	0	0	0	0	0	0	0	0	0	0	0	0	56.2706827883	0	0	0	0	0	0	0	0	22.1759626847	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	120.2504151889	59.3878877687	36.1166415486	305.6265484932	42.7259457056	105.9090761941	7563.6628882855	165.7656036771	195.0485957073	187.0707617914	3485.3780392611	152.6169570184	861.6630547451	94.4336694261	101.2105395427	34.8081305561	46.0383199638	726.2755944310	617.2615970638	0	66.4117627463	60.1223186287	280.4581639620	32.2289052368	140.6908371688	140.2485782393	56.9957954067	51.7013313094	82.2663429807	5.8498344478	903.9712941253	319.5209776716	361.1019000519	128.9855781277	601.0075341392	143.2021185105	602.7697983994	132.4558176425	46.7570887574	111.8448380617	85.9780002574	46.0979588947	17.7029790880	354.3570352786	278.3177042728	534.9795825858	279.4072983998	355.7378965980	161.7443959868	132.4611860871	12.3564759624	0	30.1321586224	949.7607040690	0	289.5287940870	31.3184999907	2755.2757239579	0	478.0484451627	1140.1684389067	41.6180080878	9.8291228323	245.8173607903	0	1.4656088487	242.0404326574	52.3929660322	310.8205784012	29.0462868392	11.7773431473	12.1047844686	0	27.8872596418	38.6948049495	0	10.6017709305	0	5965.6109433997	384.6968810849	150.7579504630	48.4912275614	98.5043608840	104.6538924084
P42-PWY: incomplete reductive TCA cycle	53.8431984677	0	0	17.8967437447	0	0	137.6936026945	0	32.5588995942	41.7215572793	2504.4187730213	0	60.0592350369	0	0	0	0	0	0	0	0	0	0	0	76.9124531319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714.6416718133	13.9492985056	117.7156315642	824.0863086610	0	9.5052383179	172.4556924339	0	0	9.7041828482	0	60.4972626617	0	0	0	0	0	0	0	0	0	246.2678437312	0	59.0888687913	0	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	14.2924489011	0	0	0	0	0	570.7075881925	14.1857478504	0	0	1635.8209924896	0	198.1728666878	0	0	0	0	9.4813445647	0	0	0	0	91.4197769937	0	38.3024495421	0	0	0	0	0	157.4313682691	0	99.4862821309	0	51.2119297368	29.2144629999	0	20.1112411985	0	0	0	24.6137355030	0	0	0	184.9927467062	0	0	0	0	0	0	0	173.6999557186	0	38.8569818657	0	667.5775734644	0	58.9372247316	430.4877104937	0	0	111.4608460828	0	0	0	0	0	51.3346992453	0	0	0	0	0	0	0	0	1243.2191237438	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	37.9766949362	114.2480456364	73.7051353362	25.4394540032	0	22.8665309697	205.0318235581	153.2489407360	172.3915701207	41.4056775982	20.1348585251	0	0	0	0	33.2757862531	0	240.9706530127	96.2771321977	0	0	37.8403164407	37.2127231223	0	13.0848247448	0	0	0	39.5644697787	0	145.2670032571	0	176.8554742679	0	46.5864934240	0	45.1150242373	53.8330804373	27.4091559930	34.8866232232	0	0	0	51.3962249028	47.2242987459	88.2984283277	0	0	0	25.2871077093	30.5667211307	0	18.8993591116	197.2481764798	0	0	0	28.9481768920	0	34.3812337725	111.3193583933	64.8326674973	0	42.3351073796	0	0	65.9602508164	0	0	53.9933142306	15.1297172224	0	12.0544654282	0	83.2208700858	0	41.5460146649	0	179.0051110042	24.3199055040	34.4391926171	0	19.2751501229	0
P621-PWY: nylon-6 oligomer degradation	0	0	0	0	0	0	22.0032125295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	159.2137552087	0	0	71.6088814019	0	200.9610241761	2252.0827277487	137.9405389932	84.4901053937	56.7437262242	1015.6903494287	25.6858935718	273.7246575130	0	10.6567051700	27.3636277015	6.9779318108	90.6777230874	89.6751701175	0	18.2542856293	26.4083392330	23.8075777220	9.6768641743	68.0451246896	41.9926798604	12.2447055450	16.0795580133	19.7668330123	11.1471779491	112.8669594817	45.2956853873	80.5665966694	24.4596205358	52.2318504736	28.2542318404	133.8624253742	60.8784671527	39.4011563384	47.1359710579	32.5323387440	31.1262315383	0	23.1688661696	54.7125863913	78.0991511090	23.1781594603	14.4534921646	32.2274049819	23.4751213956	0	0	0	359.5505861295	0	63.5717210254	0	1221.8709488710	58.3114034688	43.2863408585	183.2343901191	0	14.2853099747	106.5633803622	0	14.2381841968	47.2126202808	12.4589941193	45.8919692701	23.3193323176	0	0	0	0	0	0	0	0	1468.3426241868	268.8859040785	47.2505269406	7.4745990013	11.7942004350	11.3112452262
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	75.3561328837	0	0	56.5587357591	0	140.6061287656	2447.1182552870	76.5181163909	67.4628693537	56.3534274982	1365.1934234179	42.2499341145	323.2439180665	0	0	15.6905725557	9.0046686605	101.4681797017	74.7751236236	0	0	32.9360589530	38.9941995959	13.9272765769	64.4079337973	54.9597992864	0	0	20.0741999227	10.9175702814	142.7956422246	57.5644914397	63.6692819250	38.5206299453	28.6062920172	39.4790855999	163.5418335389	35.0406453384	20.0674811483	40.3752830212	34.6909945242	26.9775054413	0	28.8452148626	65.7968563801	63.7602340589	18.1473003664	23.3374191302	33.9161782976	22.0234635928	0	0	0	486.0535031171	0	36.2648347587	0	1316.7935906288	62.8521824475	58.9232730021	226.9745220943	0	0	111.3664226549	0	0	58.6732817980	14.3701705035	57.8514121181	0	0	0	0	0	0	0	0	0	2167.4782797381	240.4802121311	60.0980353912	11.8040087989	15.7947869877	18.6373519114
PENTOSE-P-PWY: pentose phosphate pathway	0	54.2916153641	18.6751890225	123.2412576499	0	311.4192096332	1547.1511333110	115.6890972849	103.3713915727	0	703.4697314792	42.6381557023	156.1766312296	0	0	18.8922606897	0	116.8827488921	87.3369591121	0	45.6580123057	22.6069519074	102.2284905348	0	0	23.5416628539	14.3801094136	0	62.1081412195	0	41.5808783768	22.6262579249	275.0735315458	36.7252584357	73.4932275013	17.0248606024	40.7347186879	52.3739254019	37.6931813908	0	66.0926370789	0	12.1546955568	34.0077937464	83.1553231347	388.5894291119	59.1040318639	35.5015902181	0	20.7028964975	0	0	0	265.2484617752	0	98.9243309730	0	1742.2112795521	32.6138583985	51.5775439762	295.8657155755	29.1469493469	36.5853157988	277.7597085547	0	0	71.5068205580	11.4679790673	135.3781968820	34.9996202587	0	15.8406748845	0	0	0	0	0	0	2856.3279852442	129.6482905691	107.0391189107	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	51.3519934418	0	0	71.6938709871	14.7479183278	188.6631078564	2459.4402255820	94.4416911660	96.6072681439	69.1463304253	1884.8671396970	58.1920912633	382.8382893968	0	0	0	0	149.2629291812	115.6267205253	0	0	15.8420527489	89.0256446686	0	64.7246675774	71.8294727083	0	25.2032327882	18.7427724866	0	212.6921023719	83.5279321191	130.4856881523	46.8774630681	90.2296475896	16.2181391482	161.0829207414	32.0104005399	42.3667857117	33.1483795334	26.3353760063	29.2090242061	0	59.0683845979	57.3798798199	204.1272917831	33.8073671279	63.4674703225	17.9021277236	30.9164010850	0	0	0	463.6451788979	0	87.0508855421	0	1270.5543030927	46.2142182847	116.5143622921	373.3517404190	0	0	144.5818052209	0	0	40.0162541769	13.6038348006	132.6780952018	23.9570458065	0	0	0	0	0	0	0	0	3959.7474276925	162.8491727353	46.4296666619	14.0996736430	14.7411503906	27.1743635847
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	24.1919825220	15.1203967589	19.0661202553	0	0	133.4221736681	1907.8341346431	83.0090490208	39.4155075133	33.5697828501	225.3438610964	21.5249016174	50.6246722972	0	0	10.9648238728	13.5693650668	89.4274541645	86.5086487282	0	0	16.0388128795	34.9279105115	0	0	33.2346233564	0	0	29.5894243367	0	149.6442172410	46.2017298753	85.4178699706	0	122.5168050178	34.9925289067	64.7611534977	97.8051522788	43.8907319267	28.6700329683	41.2409571826	38.9454024623	7.7930509941	33.2659760282	77.0434057063	193.6723255994	45.6994559806	52.0702247167	0	19.5432848170	17.7086295454	0	0	292.3970683129	32.8429550850	18.6204956424	0	316.2970457476	0	0	73.9350016383	0	0	77.8963016874	0	0	47.4193417431	30.2111167584	46.6911288680	14.1041357470	0	0	12.8259705552	0	13.3149579171	0	24.8249599982	0	671.5680514720	136.3973241870	44.5690164442	0	0	0
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	28.5273949175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	0	0	0	76.5826519413	0	0	0	77.2430376049	0	25.4593584569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.4159930503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8702857222	0	0	0	0	0	0	22.6439246836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.7915181893	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	21.7955907441	0	0	9.0786349256	0	0	115.8218970801	0	8.2602143291	35.7540515890	742.0910617805	0	35.0939008557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.5193456428	0	0	0	0	0	0	20.4294272091	16.7398812113	0	0	5.6217839586	0	0	0	72.3767569927	0	0	0	0	0	0	0	53.7243725355	0	0	0	27.1549934288	13.8119142123	0	79.4608586054	0	0	32.0893983849	0	0	0	0	39.6600014090	0	0	0	0	0	0	0	0	0	1420.4968431600	20.4660291948	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	0	0	0	10.1003154661	0	578.1484383443	36.6783332412	21.2171450308	0	1319.3038203627	11.9614333335	73.3781103523	0	0	0	0	40.5804167910	34.7341004483	0	0	9.5109136097	70.1299937456	0	39.2903471620	0	0	0	20.8006638196	0	0	34.9088493189	41.1055148982	0	0	23.2539300537	0	0	0	0	0	12.1295383552	9.2636036430	0	22.9241895182	81.6904480265	0	15.5725367614	0	0	0	0	0	186.7941285670	0	15.9163296502	0	0	11.6538479777	28.1220979174	151.9983642055	0	0	63.8708699391	0	0	25.5038490440	9.7371041580	0	0	0	0	0	0	9.5456933861	0	0	0	922.0286525319	42.6339353225	13.7606174080	0	0	0
PPGPPMET-PWY: ppGpp metabolism	22.1426368947	0	0	8.3226046015	0	14.0860496740	212.3590024095	11.8741460722	8.2876182102	13.4130868449	487.0073823835	0	87.1351012913	0	15.8376300377	0	0	40.7688156944	11.6940779312	0	0	0	0	0	127.3147113987	36.4050135453	0	0	0	6.1163674830	37.0033515556	29.7496443330	28.1058304751	0	32.4207734011	0	50.6336856087	25.0499654239	0	33.7210623543	26.5227634414	0	0	13.2867923920	45.3276389166	91.7695833091	0	0	0	0	0	7.4825067745	0	96.2353410899	0	0	0	362.3545916886	12.7232763197	39.9256610851	243.0210297024	3.5448129401	0	103.5020693008	0	0	15.1966256162	0	0	20.8548531646	0	13.4182185119	0	0	0	0	0	0	132.5426805442	0	36.8238395723	0	0	0
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	0	0	0	184.7828040939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.3967562583	0	0	0	0	0	31.7095985565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0	0	0	0	0	0	327.9907657129	0	0	0	79.7252343110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.7104940415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	19.9748095095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV	350.6863372463	115.4531975677	74.3083969578	1053.5711591348	101.8132456781	168.0613079335	12693.5585729126	606.6805402173	627.0747257845	470.3982811720	11061.3269300648	533.5018706654	2445.0932373328	188.9279607529	253.9204788886	78.6384896309	96.5247933205	1516.7454686327	1486.6757624052	77.7591167902	180.1694454641	206.3317148570	674.6957603037	93.1015526266	476.5715080384	548.9484424112	114.7451786057	182.1273484507	201.0959633261	94.0339769480	2028.7039016239	503.7690442163	562.6639565901	352.7749377696	1112.9117500911	366.0360326836	2196.8622060369	324.6582299020	210.7165454189	512.0779976356	243.6232583381	345.1485061944	37.1850301848	563.8086695123	721.1471450134	923.0605758833	317.1724942574	1008.3490866324	356.9536455228	279.8668716775	11.3718719143	17.8092201127	53.2348313084	2586.9292847427	25.9382384191	587.2737965362	67.9862059347	4300.3504145342	67.6587977376	940.4086914422	2374.9645488621	88.9399970732	100.7724521331	792.5397792211	26.9859063236	99.7887683337	675.9870800056	270.0306416378	1018.3715115243	118.8174505720	0	118.6045968282	34.0996069286	111.7975972058	191.3323014932	22.5000294744	62.0433748743	31.6930782453	18066.2869163513	1128.3382639281	644.5419836621	138.8494246952	300.6181199452	186.1602699942
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	50.4655298943	15.0638826228	0	19.7838871505	0	18.3390847667	1037.6750479242	87.6875611747	67.9199796825	51.7990679697	490.4477031260	0	16.2824102528	0	13.8736926310	27.6056125759	6.9428130217	36.8748199038	32.0717847494	6.0802112873	0	0	12.7284480293	0	6.4245836921	0	0	0	66.8593575022	0	55.5786715479	0	299.0622180467	11.5276774776	15.4978376948	10.5046636845	0	32.2286181776	0	0	24.7977431789	0	0	0	0	242.2743731134	0	15.3367703084	0	11.3474769411	19.1330665399	0	0	108.2638410386	0	0	0	173.2693406992	0	26.8944690019	73.2960326568	0	18.1856088884	39.4188864434	0	6.2945203503	24.4268782250	9.1932060746	46.4471682646	22.0591137005	0	15.2503402960	0	0	0	0	19.1001246539	10.6853361959	1322.0010968635	93.3680715824	35.5405682319	0	8.9753145588	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	29.1439197283	0	0	75.8941674012	0	0	24.7698393398	0	54.1014113486	0	212.8214331561	0	148.1452256305	0	0	0	13.7619117742	0	0	0	0	0	0	0	23.4349201042	0	0	0	0	0	144.1092713508	0	0	0	27.9417240407	0	79.1911424093	0	25.7942731807	0	0	0	0	0	19.0217381271	0	0	18.7280660768	0	0	0	0	0	173.9319711898	0	0	0	0	0	0	15.3452943490	0	0	0	0	0	0	0	18.7684997320	0	0	0	0	0	0	0	0	0	0	27.9220516145	88.3127317856	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	0	0	0	0	48.2866758711	316.3427161286	37.1276721422	25.5120875068	0	440.3582539870	12.8384300885	0	0	0	0	0	45.7329427907	46.3231942821	19.0381860344	0	0	0	0	44.0175886083	0	0	0	0	11.3915997783	26.1381027307	49.3433409749	14.5305368704	0	54.0875452358	0	72.3995132590	45.6390005429	28.0920350531	12.6405562072	17.6643410311	0	0	23.8045239089	0	77.9702775102	0	0	0	22.5926235415	0	19.7584388748	0	84.6664590660	0	0	0	62.8902608413	8.8334719426	0	149.6911919867	0	0	39.9144343298	0	0	0	9.9834978621	28.3572717138	0	0	7.3847318553	0	0	13.1265359030	0	0	0	102.5781228859	30.9085905719	13.0719735509	0	0	0
PWY-2941: L-lysine biosynthesis II	0	0	0	0	0	0	502.3091420744	0	0	0	1176.1033446245	50.8810729966	0	0	0	0	0	121.6297241647	150.5457295981	0	0	0	55.6087821368	0	0	0	0	0	0	0	124.8600068482	0	0	0	17.3167182065	0	54.7057618621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.6249113732	0	0	0	330.7601365604	23.9243272958	0	181.8364089742	0	0	0	0	0	0	0	0	0	0	8.4471952458	0	0	0	0	0	0	989.7285491747	36.8793038817	0	0	0	0
PWY-2942: L-lysine biosynthesis III	50.3060273584	15.5886315132	0	226.2171384256	0	204.0932180604	5021.1944163377	165.0569074146	174.1215396492	100.4925473562	2340.7015965297	101.3932333436	837.8665064562	33.9726080189	61.1005420526	11.5505794018	16.1400358842	261.1290170519	217.3706216143	16.7459164627	38.3225994819	45.6655096303	79.6666296159	12.0822184631	63.2975270112	184.1038072553	18.8986396744	34.4319171190	16.8754968900	20.2717457765	370.7205169495	143.2190103389	125.6581797475	95.6165901826	272.7306322452	106.2664736077	423.9797408942	53.0729633618	39.9940458616	109.9460700535	52.9595023783	77.3898654782	14.8479737988	100.3519589632	169.7874365659	143.4797217415	68.7773722652	164.2239680991	52.2343696481	41.7411947869	0	7.8163949247	12.7845792990	785.2290635725	0	80.1102177915	0	1020.4867140815	41.1619111539	134.1815694337	597.3010455407	13.9176966861	18.8313024495	192.1501172369	0	0	88.8452358414	27.9871672706	256.1706703452	21.3493606758	0	10.2427114492	0	0	22.3075377321	0	0	0	7592.8078018373	421.2939074062	121.5720682560	15.7854623127	37.4694964810	87.2827518655
PWY-3001: superpathway of L-isoleucine biosynthesis I	83.4198383328	28.8009425633	24.9234961068	102.4849039178	0	0	2690.3815513872	71.7947056084	110.5337801022	50.1765802624	2553.2220976081	60.1681197180	293.8715284711	0	42.6231644830	0	23.9488448201	196.5785828625	225.3505761898	0	0	0	88.2204948787	0	56.6062991624	89.1950965755	0	48.0041358035	0	15.0744270939	253.3899267789	138.9979633706	88.9129534070	53.7364429903	176.2266817224	43.3075033817	179.2127331718	93.7415299580	39.4773587053	0	0	59.5980256168	0	73.4574569613	149.4691732606	84.9054981126	27.3634903234	84.2964691656	29.1653180050	25.7237204603	0	0	12.0478520949	430.9325549653	0	120.3769063300	0	729.5711155325	51.8125572094	102.4274433779	436.6741409742	0	0	115.1125272277	0	0	68.0592409558	18.6192019801	161.0988398295	43.8416956480	0	0	0	13.5779466063	15.7484495864	0	13.2646175172	0	3821.4323963890	201.8637235303	45.2057821210	0	0	0
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	100.9729119071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
