# Pathway	La100_cat_Abundance	La101_cat_Abundance	La102_cat_Abundance	La103_cat_Abundance	La104_cat_Abundance	La105_cat_Abundance	La106_cat_Abundance	La107_cat_Abundance	La108_cat_Abundance	La109_cat_Abundance	La110_cat_Abundance	La111_cat_Abundance	La112_cat_Abundance	La113_cat_Abundance	La114_cat_Abundance	La115_cat_Abundance	La116_cat_Abundance	La117_cat_Abundance	La118_cat_Abundance	La119_cat_Abundance	La120_cat_Abundance	La121_cat_Abundance	La122_cat_Abundance	La123_cat_Abundance	La124_cat_Abundance	La34_cat_Abundance	La35_cat_Abundance	La36_cat_Abundance	La37_cat_Abundance	La38_cat_Abundance	La39_cat_Abundance	La40_cat_Abundance	La41_cat_Abundance	La42_cat_Abundance	La43_cat_Abundance	La44_cat_Abundance	La46_cat_Abundance	La47_cat_Abundance	La48_cat_Abundance	La49_cat_Abundance	La51_cat_Abundance	La52_cat_Abundance	La53_cat_Abundance	La55_cat_Abundance	La56_cat_Abundance	La57_cat_Abundance	La58_cat_Abundance	La59_cat_Abundance	La60_cat_Abundance	La61_cat_Abundance	La62_cat_Abundance	La63_cat_Abundance	La64_cat_Abundance	La65_cat_Abundance	La66_cat_Abundance	La67_cat_Abundance	La69_cat_Abundance	La70_cat_Abundance	La74_cat_Abundance	La75_cat_Abundance	La76_cat_Abundance	La78_cat_Abundance	La79_cat_Abundance	La80_cat_Abundance	La81_cat_Abundance	La82_cat_Abundance	La83_cat_Abundance	La84_cat_Abundance	La85_cat_Abundance	La86_cat_Abundance	La87_cat_Abundance	La88_cat_Abundance	La90_cat_Abundance	La91_cat_Abundance	La92_cat_Abundance	La93_cat_Abundance	La94_cat_Abundance	La95_cat_Abundance	La96_cat_Abundance	La97_cat_Abundance	La99_cat_Abundance	Lasse20_cat_Abundance	Lasse25_cat_Abundance	Lasse9_cat_Abundance
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	32.0675818830	0	0	0	0	184.7031186323	1219.9922104497	57.3467592312	87.3624363442	0	570.0317937665	49.7501643051	149.7912187137	0	0	0	0	106.0536509226	106.2287155740	0	11.9655055695	20.3578165166	0	0	43.3974838020	51.1454369537	0	22.3434833903	0	0	170.9710028276	53.2511137222	50.8582592554	37.4221226899	95.0236351584	34.0552199123	221.8674962246	18.0174420789	20.8888020300	0	0	0	0	83.4479473140	79.6683175440	23.9063226034	0	59.7107519199	19.5183303390	0	0	0	0	195.0814325000	0	16.3454943524	0	445.8221279639	48.3890100301	74.7535896113	223.0118158049	0	24.5718170142	76.7758911957	6.4958739624	0	0	0	94.8017596291	17.4535538197	0	0	0	0	0	0	16.1803091047	0	1878.9624299859	0	91.0260706960	0	0	56.1357906163
ARO-PWY: chorismate biosynthesis I	31.4873234776	0	0	52.9393936822	0	198.6459017881	3008.5951027688	64.8408319945	71.5880173716	13.5304751420	1386.3214247276	50.9414190133	196.7311634854	0	15.2671024285	0	0	144.9354924759	120.5103831206	0	0	16.4012443833	71.7310814947	0	23.4829842014	13.3117809969	0	21.2307280289	26.1890280388	0	173.5053793300	68.1379427326	86.5072314052	56.3303897162	73.0966356391	51.1568750469	158.2238763587	54.8450037236	6.9434772657	39.9068398166	22.2520971059	28.6036719425	0	31.7449253607	93.8863079805	167.5705307213	18.6487833611	38.3180337564	15.4560785311	23.0067988085	0	0	0	394.1026379518	0	45.8767563971	0	491.1730815107	34.0021620679	59.9472570707	252.3200754994	0	17.1998640458	105.8995993232	0	0	56.1183480188	33.4956266172	44.0140475737	18.0723819101	0	10.9461857298	0	11.2214488041	10.4882129663	0	0	0	2975.6738385733	160.9215799372	47.8335974138	0	0	22.2489117381
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	151.0587845495	31.0856348111	0	31.9979389290	0	0	624.7684704745	62.3057302196	60.1436150182	31.7141715200	989.6549697116	29.8004061768	207.5683572185	0	12.4387608129	6.0394044013	32.9237888447	318.0158352510	77.3001142248	0	7.9860933166	26.9895629695	74.7319907593	12.8865491003	110.3900086854	8.7129158642	11.2777560965	16.9295692400	19.2122872205	9.6909993394	165.0396781407	47.3032787262	105.7873036509	17.2219132577	57.4993634810	25.9940919311	48.0055001419	74.3404882684	19.1346848660	11.8794213039	22.3757177622	42.3105778576	6.3563411099	50.5179799828	18.8355589040	348.2715083488	14.4138815037	24.9454813795	10.5453012206	16.5221090847	40.5987132714	14.7962414128	6.3522006931	236.7198856502	0	116.2790886655	10.8388646418	834.4582168875	0	80.6698157810	796.8237240507	0	0	134.8585146213	0	0	35.4801187400	16.6567678033	70.5658989108	55.2795126000	5.9559760239	35.3499168721	14.1594822612	0	0	0	9.8709444382	0	1389.7188104532	110.4572528419	43.0835016132	0	14.4867397955	9.3757696561
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4314058845	0	0	12.5711438387	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2087826869	0	0	0	0	0	0	0	0	0	0	0	0	0	29.1820377020	16.1117131158	0	0	0	0	13.2973144128	0	16.3301537931	0	0	0	33.3894216706	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	15.1871280717	0	84.9438380910	881.8962288122	0	0	0	363.4123421038	32.0610859329	0	0	0	0	0	65.7871505201	21.3845454679	0	0	0	64.0474854819	0	0	0	0	0	0	0	20.0130487156	0	80.7296106658	0	0	0	0	26.4033738344	29.3847500694	16.3072542812	0	0	0	0	57.0696850298	252.6671850339	29.1374801018	19.8268834046	0	23.6536028560	0	0	0	281.7791540556	0	0	0	35.2005582739	0	0	35.9094332860	0	0	58.6609681239	0	0	27.8529506946	0	23.2712460987	28.3320919223	0	0	0	0	0	0	0	0	271.3817619993	90.7780815334	24.2235068712	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	113.4398438524	42.2638749451	46.1085533257	144.2389087305	0	263.5703538936	4042.1091205986	174.4691059934	175.6026616651	81.9211545206	2587.4177155859	116.6804191622	354.1809440874	0	35.8978456959	25.8575597974	24.9365650626	242.9035230274	230.2559404092	10.8523256951	0	40.3458691520	92.4460365640	0	49.9424399124	187.5363883472	22.7971960952	68.4788933787	27.5115608937	29.2657996526	396.3069603831	181.1131426788	69.9637057684	140.5016367493	256.0828789548	81.6740872427	543.0624238644	134.6305606311	30.6789155602	69.0083559516	17.1264727296	26.4414297030	0	134.7546480605	316.0498435925	63.1808953875	49.3598528972	44.1251568433	46.0392231061	31.0860399492	0	0	30.4723937661	616.8089462987	0	148.1375479310	0	1224.4869044211	74.6054306803	144.0312231668	302.1946716718	0	56.3079186404	120.0046580373	0	0	94.9344917585	20.0513564597	173.1890236751	56.6490373798	0	0	0	18.7373151321	32.1345983035	0	12.3256230993	0	6995.0141839501	257.6224320500	107.6897657284	13.7753492548	21.7384329585	19.6621166364
CALVIN-PWY: Calvin-Benson-Bassham cycle	153.7991846650	96.1925838752	0	386.3906985647	0	367.0035428407	6332.0102984284	320.3120805068	441.0824819810	147.9863365712	3755.8870000934	235.9012860603	965.3795180893	129.6662994508	232.7120280998	86.2034546220	88.0913967839	442.4132433834	261.1206007117	77.3827373658	116.7053960467	178.5252746615	141.9869093744	23.5374842435	186.5674211775	0	39.6876781530	93.5071367762	130.4860951119	42.7223665448	789.1858540283	188.6064089930	484.4153940231	0	645.9204203549	69.7503398207	240.3931275900	294.0783808883	87.9301932609	207.4659952389	164.0442226829	241.6041594140	56.7394969864	214.2350041813	250.6422544687	649.8025107236	117.6652930164	54.4555701729	0	78.0417694918	54.7326706884	22.5083293112	0	1101.2539609867	29.0118318986	215.5895103466	43.0915335121	2317.8640709176	71.0932288067	549.5243058980	1076.8285884199	122.2646955282	65.4860564966	329.5077395684	35.0219250259	36.6592769711	209.0362953162	79.4487282288	477.6597423128	117.8801908321	25.9204093434	35.4593274482	0	52.1090784613	74.3469689295	0	81.0180581865	41.4287587951	7099.6546326292	572.7141728435	307.5072391577	39.4152509926	34.7035814031	36.9319138023
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	12.5581496413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	31.4059916350	0	0	0	0	0	0	24.4122536178	43.9875963994	0	288.3282908713	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4329252758	0	0	0	0	0	0	0	0	0	0	0	13.6405436569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1583664139	0	0	0	0	0	22.1105865116	100.0204121221	0	0	82.4217956419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769.9001766332	0	43.2829273580	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	26.2319725714	0	0	79.4299117154	0	216.5955553632	177.1501506643	0	0	0	1089.7167114322	57.6676792484	182.0870793067	0	24.0915649026	14.7609043028	9.4574738770	0	22.8409781280	0	25.1326593723	0	32.7143581833	0	0	0	0	0	0	0	51.8210290978	0	0	0	112.4278462983	28.7798427197	32.5262034654	62.9307965019	18.0168401242	17.5919506283	0	20.1926453186	0	0	0	0	34.3630779667	0	0	0	0	0	0	114.4553192101	0	25.7151232333	0	39.5538435982	15.9162871291	38.8838016767	228.0666224047	0	0	38.0616352639	0	0	39.1889261856	0	0	0	0	0	0	0	0	0	20.0001870925	0	1589.8570546798	80.8127773794	70.7453564376	0	0	25.6965952352
