# Pathway	La100_cat_Abundance	La101_cat_Abundance	La102_cat_Abundance	La103_cat_Abundance	La104_cat_Abundance	La105_cat_Abundance	La106_cat_Abundance	La107_cat_Abundance	La108_cat_Abundance	La109_cat_Abundance	La110_cat_Abundance	La111_cat_Abundance	La112_cat_Abundance	La113_cat_Abundance	La114_cat_Abundance	La115_cat_Abundance	La116_cat_Abundance	La117_cat_Abundance	La118_cat_Abundance	La119_cat_Abundance	La120_cat_Abundance	La121_cat_Abundance	La122_cat_Abundance	La123_cat_Abundance	La124_cat_Abundance	La34_cat_Abundance	La35_cat_Abundance	La36_cat_Abundance	La37_cat_Abundance	La38_cat_Abundance	La39_cat_Abundance	La40_cat_Abundance	La41_cat_Abundance	La42_cat_Abundance	La43_cat_Abundance	La44_cat_Abundance	La46_cat_Abundance	La47_cat_Abundance	La48_cat_Abundance	La49_cat_Abundance	La51_cat_Abundance	La52_cat_Abundance	La53_cat_Abundance	La55_cat_Abundance	La56_cat_Abundance	La57_cat_Abundance	La58_cat_Abundance	La59_cat_Abundance	La60_cat_Abundance	La61_cat_Abundance	La62_cat_Abundance	La63_cat_Abundance	La64_cat_Abundance	La65_cat_Abundance	La66_cat_Abundance	La67_cat_Abundance	La69_cat_Abundance	La70_cat_Abundance	La74_cat_Abundance	La75_cat_Abundance	La76_cat_Abundance	La78_cat_Abundance	La79_cat_Abundance	La80_cat_Abundance	La81_cat_Abundance	La82_cat_Abundance	La83_cat_Abundance	La84_cat_Abundance	La85_cat_Abundance	La86_cat_Abundance	La87_cat_Abundance	La88_cat_Abundance	La90_cat_Abundance	La91_cat_Abundance	La92_cat_Abundance	La93_cat_Abundance	La94_cat_Abundance	La95_cat_Abundance	La96_cat_Abundance	La97_cat_Abundance	La99_cat_Abundance	Lasse20_cat_Abundance	Lasse25_cat_Abundance	Lasse9_cat_Abundance
UNINTEGRATED|g__Anaerococcus.s__Anaerococcus_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1863.3306708041	0	140216.9668928808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653.2695068740	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	18556.9659125056	4697.8899573255	0	7733.7432037703	0	0	0	0	0	7885.5240865878	1349.2785726778	979.4742100216	0	0	0	3011.8654463801	0	0	0	882.3388958175	0	0	10059.4340665318	0	8812.7376603611	0	0	9001.8595702416	0	0	16847.2399897525	13578.5955150929	0	42612.6620375531	2425.7064993459	0	17945.9160006241	0	0	0	0	22476.2053976907	0	0	6114.0217850652	1377.4843804452	0	0	0	1306.4941343713	53209.0219974574	0	0	0	0	525.6763352790	8159.6404940815	10510.4845373830	0	0	0	0	0	11134.1166513534	6300.1254018894	0	0	0	0	0	0	4410.1274907357	0	0	0	40254.2287905431	0	0	0	6635.0965947831	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	6374.5696476396	0	0	0	0	0	48887.3810890129	0	0	484.4066952841	19364.3006212350	0	2890.4537586901	0	0	0	0	0	1078.7928339558	0	0	3503.1540117100	3012.4834455856	0	0	0	0	0	0	0	2948.9469241802	2957.4874750303	0	0	0	0	0	0	0	0	4531.6993294033	0	0	0	0	0	0	0	0	0	0	0	897.2825563632	5275.5380614366	0	0	0	0	0	0	0	0	1437.6206270044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80210.0209867844	0	3623.0215652244	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	0	0	0	0.0000000000	0	0	0	0	0	0	1223.0040148199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214.7593370742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3723.9979314828	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	717.2504292445	0	0	0	0	0	0	1048.1481997345	475.1178934958	1083.1582610647	12267.5207062296	0	0	0	0	0	0	625.2147852686	343.2415031306	0	0	2042.9294536227	4586.0747516733	0	0	0	0	0	0	0	0	0	0	309.6800884088	0	0	0	0	0	909.4606417141	0	0	0	0	0	0	2082.4050953514	0	0	0	0	0	0	1295.3414055569	0	1015.8746810510	0	0	0	0	2434.7278955039	0	783.5903679497	4417.4808661791	0	0	341.8194989000	503.0856592654	942.3399009356	1965.7862592898	0	0	0	0	0	0	0	0	0	0	3038.5932122781	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	330.8269292524	0	0	0	0	0	0	0	0	0	0	2982.5968535836	11312.6048424131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839.1799318794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4629.2011164279	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0	0	0	0	0	0	0	2220.0204801453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3706.0962006027	0	0	0	0	0	0	0	0	0	0	0	0	1074.4845342186	0	0	0	6993.0653670983	3572.2763356939	0	0	0	0	0	0	0	3204.9021278002	2194.9731076990	0	0	0	0	0	0	0	0	0	0	187958.6906644773	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	4430.5722261890	0	212.6586190938	0	0	0	727.5539224737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17829.3385595550	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	401225.7675255967	0	0	0	28551.0397643787	0	0	0	0	0	3395.5012851913	0	0	0	2060.6133790575	1441.2237367528	5169.4233335373	0	0	0	5149.4257192263	0	0	0	0	0	0	0	0	0	0	0	0	2839.8220788891	0	0	0	3259.7666305928	0	0	5290.8011536825	0	0	0	0	0	2025.8253222773	11194.8837418501	0	0	0	305893.5525983423	0	0	4069.8712195007	0	0	12936.7225648089	0	1755.5017240800	1141.4164615112	1394.1326385177	1708.9653433997	3140.7121422795	0	6357.0609748133	0	0	0	0	0	0	0	0	0	0	5839.9556032229	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	1625.6013571840	1243.9778973581	0	1854.3316783658	0	0	0	0	0	0	0	0	0	0	0	199.9587193233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii	9555.9433155228	0	0	0	0	0	0	0	0	0	0	0	3736.0588220486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694.1244352877	0	0	0	0	0	675.1206550802	7979.2724776486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83756.5526290196	0	2486.3036644043	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	6201.8649464080	0	0	20144.2203711395	1068.7180956763	0	0	7433.1213977069	0	2534.4082368843	0	0	0	0	710.9069584900	646.1856525509	0	0	810.7711298797	2942.5529145134	0	0	0	0	0	0	0	3104.2723729197	0	0	0	832.5154739390	0	0	0	0	0	0	0	0	0	1167.3058222263	0	0	0	0	0	0	0	0	0	0	3628.8570623460	0	0	0	0	849.7606961494	0	0	4355.7366016624	0	128.4640649667	0	0	0	0	0	0	0	0	0	0	0	0	43977.1572534982	1554.1335216477	0	0	1352.1975090982	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762.9187849026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	0	2241.8906750509	1305.9739542475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.0970661478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772.1655294350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	3621.2196281941	0	0	0	0	0	0	0	2489.5599191088	6265.4110012790	0	0	0	0	864.4046173877	0	0	0	0	475.0306450534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306.4758188930	0	0	0	0	0	0	0	179.3222177383	4785.3228684610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
