# Pathway	La100_cat_Coverage	La101_cat_Coverage	La102_cat_Coverage	La103_cat_Coverage	La104_cat_Coverage	La105_cat_Coverage	La106_cat_Coverage	La107_cat_Coverage	La108_cat_Coverage	La109_cat_Coverage	La110_cat_Coverage	La111_cat_Coverage	La112_cat_Coverage	La113_cat_Coverage	La114_cat_Coverage	La115_cat_Coverage	La116_cat_Coverage	La117_cat_Coverage	La118_cat_Coverage	La119_cat_Coverage	La120_cat_Coverage	La121_cat_Coverage	La122_cat_Coverage	La123_cat_Coverage	La124_cat_Coverage	La34_cat_Coverage	La35_cat_Coverage	La36_cat_Coverage	La37_cat_Coverage	La38_cat_Coverage	La39_cat_Coverage	La40_cat_Coverage	La41_cat_Coverage	La42_cat_Coverage	La43_cat_Coverage	La44_cat_Coverage	La46_cat_Coverage	La47_cat_Coverage	La48_cat_Coverage	La49_cat_Coverage	La51_cat_Coverage	La52_cat_Coverage	La53_cat_Coverage	La55_cat_Coverage	La56_cat_Coverage	La57_cat_Coverage	La58_cat_Coverage	La59_cat_Coverage	La60_cat_Coverage	La61_cat_Coverage	La62_cat_Coverage	La63_cat_Coverage	La64_cat_Coverage	La65_cat_Coverage	La66_cat_Coverage	La67_cat_Coverage	La69_cat_Coverage	La70_cat_Coverage	La74_cat_Coverage	La75_cat_Coverage	La76_cat_Coverage	La78_cat_Coverage	La79_cat_Coverage	La80_cat_Coverage	La81_cat_Coverage	La82_cat_Coverage	La83_cat_Coverage	La84_cat_Coverage	La85_cat_Coverage	La86_cat_Coverage	La87_cat_Coverage	La88_cat_Coverage	La90_cat_Coverage	La91_cat_Coverage	La92_cat_Coverage	La93_cat_Coverage	La94_cat_Coverage	La95_cat_Coverage	La96_cat_Coverage	La97_cat_Coverage	La99_cat_Coverage	Lasse20_cat_Coverage	Lasse25_cat_Coverage	Lasse9_cat_Coverage
UNINTEGRATED|g__Anaerococcus.s__Anaerococcus_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	1.0000000000	0	0	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	1.0000000000	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0	0	1.0000000000	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1.0000000000	0	0	0	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1.0000000000	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	1.0000000000	0	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0	0	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	1.0000000000	0	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_scardovii	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_hansenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_obeum	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000	0	0	1.0000000000	1.0000000000	0	0	1.0000000000	0	0	1.0000000000	1.0000000000	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	1.0000000000	1.0000000000	1.0000000000	0	1.0000000000	1.0000000000
UNINTEGRATED|g__Butyricicoccus.s__Butyricicoccus_porcorum	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Campylobacter.s__Campylobacter_ureolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	0	0	1.0000000000	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	1.0000000000	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	1.0000000000	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_amalonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridioides.s__Clostridioides_difficile	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	1.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
